Date,Product_ID,Product_Name,Category,Units_Sold,Unit_Price,Current_Stock
2023-01-01,1001,Gaming Laptop,Electronics,5,1200.50,45
2023-01-02,1002,Mechanical Keyboard,Accessories,12,85.00,18
2023-01-03,1003,HD Monitor,Electronics,3,250.00,50
2023-01-04,1004,Wireless Mouse,Accessories,20,25.50,12
2023-01-05,1005,USB-C Hub,Accessories,8,40.00,15
2023-01-06,1001,Gaming Laptop,Electronics,2,1200.50,43
2023-01-07,1002,Mechanical Keyboard,Accessories,5,85.00,13
2023-01-08,1006,Ergo Chair,Furniture,1,350.00,5
2023-01-09,1004,Wireless Mouse,Accessories,10,25.50,2
2023-01-10,1003,HD Monitor,Electronics,4,250.00,46